"ID";"Título";"Texto";"Categoría";"Fecha de Creación"
1;"Reto de Entrenamiento de la Semana";"Eres un experto preparador físico. Yo soy [menciona detalladamente el problema al que te enfrentas con contexto]. Genera un ""Reto de entrenamiento de la semana"" desafiante pero atractivo, centrado en [menciona el objetivo de fitness]. Asegúrate de que sea adecuado para alguien con acceso a [menciona el equipo disponible o sin equipo]. Quiero que [menciona cómo quieres el resultado en detalle con ejemplos].";"personal";
2;"Principio de Pareto";"Actúa como un estratega de aprendizaje utilizando el principio 80/20 para acelerar el aprendizaje en [tema o habilidad]. Identifica el 20% de [conceptos o actividades] que producirán el 80% de los resultados, y proporciona estrategias para enfocarse en estas áreas de alto impacto. Incluye consejos para identificar áreas clave y maximizar la eficiencia.";"aprendizaje";
3;"Repetición Espaciada";"Actúa como un experto en retención de memoria utilizando la técnica de repetición espaciada y ayúdame a diseñar un calendario de repetición para aprender [tema/área]. Proporciona un plan detallado para incorporar esta técnica en una rutina de estudio diaria, incluyendo herramientas recomendadas y consejos de programación.";"aprendizaje";
4;"Técnica de Interleaving";"Actúa como un planificador de estudio y ayúdame a diseñar un plan de estudio intercalado para [tema específico]. Mezcla diferentes materias y habilidades dentro de [área del tema]. Identifica los principales subtemas, sugiere un calendario semanal e incluye estrategias para alternar entre estos subtemas para maximizar la retención y comprensión.";"aprendizaje";
5;"Aprendizaje Activo";"Actúa como un coach de aprendizaje para incorporar estrategias de aprendizaje activo en el estudio de [tema o materia]. Proporciona ejemplos específicos de actividades como la resolución de problemas, la discusión, la enseñanza a otros y la aplicación de conceptos en escenarios prácticos. Formula preguntas que fomenten el pensamiento crítico y la aplicación del conocimiento para obtener una comprensión más profunda de [tema/materia].";"aprendizaje";
6;"Técnica Feynman";"Actúa como un coach de aprendizaje y ayúdame a utilizar la Técnica Feynman para dominar [tema específico]. Guíame en desglosar el tema, enseñarlo de manera simple, identificar lagunas y refinar mi comprensión. Proporciona un ejemplo de aplicación de esta técnica a un concepto dentro del tema.";"aprendizaje";
7;"Wireframes y Flujos de Usuario para Aplicación Bancaria";"Crea wireframes y flujos de usuario para una aplicación bancaria móvil dirigida a personas mayores. El diseño debe tener en cuenta [los retos habituales a los que se enfrentan las personas mayores cuando utilizan aplicaciones móviles], [las funciones bancarias específicas a las que dan prioridad] y [los elementos o temas de diseño visual preferidos].";"desarrollo";
8;"Requisitos del RGPD para Pequeñas Empresas";"Actúa como un especialista en privacidad de datos. Resume los requisitos del Reglamento General de Protección de Datos (RGPD) para una pequeña empresa. A continuación, elabora un plan detallado y una política de privacidad exhaustiva para que una pequeña empresa cumpla la normativa.";"negocios";
9;"Automatización de Tareas en Negocios";"Mi negocio es [describe tu negocio] y mis tareas incluyen [describe las tareas en tu rol]. Para cada tarea, pregunta cómo se está completando actualmente esta tarea y determina si esta tarea podría ser automatizada. Una vez identifiquemos las tareas que podrían beneficiarse de la automatización, crea una tabla de 3 columnas con estos encabezados: tarea, proceso actual, proceso con automatización. En la columna 2, detalla estos procesos y en la columna 3 crea un plan sobre cómo cada tarea podría ser automatizada. Este enfoque estructurado me ayudará a automatizar mi negocio o a prepararme para trabajar con un experto en IA para implementar automatización que ahorre tiempo.";"negocios";
10;"Novela";"Ayúdame a estructurar una subtrama para mi novela. La historia principal trata sobre [indica la trama principal de tu novela], pero quiero introducir una subtrama que implique a [especifica personajes o temas, por ejemplo, ""el hermano separado del protagonista"", ""un artefacto misterioso""]. Esta subtrama debería tocar temas como [menciona los temas que quieres explorar, por ejemplo, ""redención"", ""amor prohibido""].";"creatividad";
